Timestamp,Trial_ID,Horizontal_Ratio,Vertical_Ratio,EAR,Eye_Direction,Dwell_Confirmed,Blink_Duration_ms,Input_Source,FSM_State,Wheelchair_Command,Left_PWM,Right_PWM,Fail_Safe_Triggered,FPS
1788178022.82988,logic1,0.19400704787649364,0.41828849319599914,0.31697135695608436,RIGHT,False,,GAZE,STOPPED,S,0,0,,31.378519915013317
1788178022.8670464,logic1,0.19886520847564526,0.41973347466024935,0.31431297407322495,RIGHT,False,,GAZE,STOPPED,S,0,0,,26.906226344893064
1788178022.8970265,logic1,0.19885007662713802,0.413737146083574,0.3167192599998785,RIGHT,False,,GAZE,STOPPED,S,0,0,,33.35377568547617
1788178022.9263155,logic1,0.20198198819942006,0.41841703969045996,0.3145200682934576,RIGHT,False,,GAZE,STOPPED,S,0,0,,34.143058325532174
1788178022.9614236,logic1,0.2031211947594342,0.4161105424997483,0.315178122760739,RIGHT,False,,GAZE,STOPPED,S,0,0,,28.48481802685284
1788178022.9997196,logic1,0.19522799050834244,0.4079894843322502,0.3191588746436453,RIGHT,False,,GAZE,STOPPED,S,0,0,,26.111748189928345
1788178023.0309153,logic1,0.19626000321882864,0.4138771187016828,0.3146198526788417,RIGHT,False,,GAZE,STOPPED,S,0,0,,32.05698606684551
1788178023.0650117,logic1,0.19866014617298633,0.4139218775856946,0.31483777596913687,RIGHT,False,,GAZE,STOPPED,S,0,0,,29.328951324741798
1788178023.097608,logic1,0.1931192124862161,0.4067531686369297,0.3182908199660464,RIGHT,False,,GAZE,STOPPED,S,0,0,,30.677159825634124
1788178023.1309855,logic1,0.19627341342961496,0.4128326365743127,0.31529588753606796,RIGHT,False,,GAZE,STOPPED,S,0,0,,29.9605983113562
1788178023.1628416,logic1,0.19892395801853768,0.4127897834542037,0.3171662651878052,RIGHT,False,,GAZE,STOPPED,S,0,0,,31.39073164890432
1788178023.199062,logic1,0.19235709542971932,0.4044835779614222,0.32139254957163854,RIGHT,False,,GAZE,STOPPED,S,0,0,,27.60918132927849
